# generated by novarocks-error-manifest; do not edit.
schema_version=1
code	phase	status
sql.admit.create_table_unsupported_form	Admit	Active
sql.admit.delete_requires_where	Admit	Active
sql.admit.delete_unsupported_form	Admit	Active
sql.admit.insert_unsupported_form	Admit	Active
sql.admit.merge_unsupported_form	Admit	Active
sql.admit.update_unsupported_form	Admit	Active
sql.lex.unexpected_character	Lex	Active
sql.lex.unterminated_comment	Lex	Active
sql.lex.unterminated_quoted_identifier	Lex	Active
sql.lex.unterminated_string	Lex	Active
sql.parse.unexpected_token	Parse	Active
sql.parse.unsupported_statement	Parse	Active
sql.validate.duplicate_cte_name	Validate	Active
sql.validate.duplicate_window_name	Validate	Active
sql.validate.invalid_structure	Validate	Active
sql.validate.invalid_window_frame_bounds	Validate	Active
